a,b,c,d,e,f,g
Model_C,Model_C_9,Model_C,2,0.985104,0.9299769,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_9/27242838
Model_C,Model_C_9,Model_C,4,0.99741685,0.95363134,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_9/27242838
Model_C,Model_C_9,Model_C,0,0.99456364,0.94372106,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_9/27511376
Model_C,Model_C_9,Model_C,1,0.9942306,0.9433594,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_9/27511376
Model_C,Model_C_9,Model_C,2,0.984231,0.9308449,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_9/27511376
Model_C,Model_C_9,Model_C,4,0.98956835,0.93272567,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_9/27511376
Model_D,Model_D_0,Model_D,1,0.9933396,0.94256365,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_0/27528971
Model_D,Model_D_0,Model_D,2,0.99567074,0.948206,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_0/27528971
Model_D,Model_D_0,Model_D,3,0.99462664,0.9397425,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_0/27528971
Model_D,Model_D_0,Model_D,0,0.984042,0.9241898,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_0/27251515
Model_D,Model_D_0,Model_D,2,0.9918815,0.9382957,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_0/27511722
Model_D,Model_D_1,Model_D,0,0.99484265,0.9523293,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_1/27528973
Model_D,Model_D_1,Model_D,4,0.9941046,0.9444444,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_1/27528973
Model_D,Model_D_2,Model_D,1,0.99719185,0.9484954,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_2/27511949
Model_D,Model_D_3,Model_D,1,0.98868626,0.92903644,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_3/27528978
Model_D,Model_D_3,Model_D,3,0.98194486,0.92173034,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_3/27528978
Model_D,Model_D_3,Model_D,4,0.99461764,0.9424913,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_3/27511963
Model_D,Model_D_4,Model_D,0,0.984474,0.9320023,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_4/27528980
Model_D,Model_D_4,Model_D,3,0.97406936,0.92925346,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_4/27528980
Model_D,Model_D_4,Model_D,4,0.968984,0.92078996,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_4/27528980
Model_D,Model_D_4,Model_D,1,0.9831246,0.921587,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_4/27511976
Model_D,Model_D_4,Model_D,2,0.99449164,0.9366319,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_4/27511976
Model_D,Model_D_5,Model_D,1,0.95697725,0.90205437,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_5/27528983
Model_D,Model_D_5,Model_D,3,0.98932534,0.93301505,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_5/27511987
Model_D,Model_D_5,Model_D,4,0.9855001,0.92896414,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_5/27319357
Model_D,Model_D_6,Model_D,1,0.9939156,0.9466869,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_6/27512008
Model_D,Model_D_6,Model_D,4,0.9932226,0.93757236,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_D/Model_D_6/27512008
